address,city,state,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"408 WSummit St","Ann Arbor",MI,42.289244,-83.752029,0.9,rooftop,408,"W Summit St",,,"Ann Arbor",MI,"Washtenaw County",48103,US,Semcog
"2248 DEXTER AV","Ann Arbor",MI,42.285736,-83.776684,1,rooftop,2248,"Dexter Ave",,,"Ann Arbor",MI,"Washtenaw County",48103,US,Semcog
"2004 MANCHESTER RD","Ann Arbor",MI,42.25775,-83.710501,1,range_interpolation,2004,"Manchester Rd",,,"Ann Arbor",MI,"Washtenaw County",48104,US,"TIGER/Line® dataset from the US Census Bureau"
"401 WAYMARKET DR","Ann Arbor",MI,42.244234,-83.75734,1,range_interpolation,401,"Waymarket Dr",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"2393 SANDALWOOD CIR","Ann Arbor",MI,42.305814,-83.709168,1,range_interpolation,2393,"Sandalwood Cir",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"2344 LESLIE CIR","Ann Arbor",MI,42.309074,-83.713889,1,range_interpolation,2344,"Leslie Cir",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"2310 Shadowood Dr","Ann Arbor",MI,42.23203,-83.713651,1,range_interpolation,2310,"Shadowood Dr",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3705 GREEN BRIER BLVD","Ann Arbor",MI,42.29919,-83.688509,1,rooftop,3705,"Greenbrier Blvd",,,"Ann Arbor",MI,"Washtenaw County",48105,US,Semcog
"555 E WILLIAM ST 19D","Ann Arbor",MI,42.278062,-83.742333,1,rooftop,555,"E William St 19D",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"3049 VALENCIA CIR","Ann Arbor",MI,42.235042,-83.717981,0.81,nearest_rooftop_match,3045,"Valencia Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,Semcog
"2966 HUNLEY DR","Ann Arbor",MI,42.315076,-83.731289,1,rooftop,2966,"Hunley Dr",,,"Ann Arbor",MI,"Washtenaw County",48105,US,Washtenaw
"2180 ST FRANCIS DR","Ann Arbor",MI,42.259048,-83.716626,0.9,range_interpolation,2180,"St Francis Dr",,,"Ann Arbor",MI,"Washtenaw County",48104,US,"TIGER/Line® dataset from the US Census Bureau"
"120 LAKE VILLAGE DR","Ann Arbor",MI,42.250255,-83.748798,1,range_interpolation,120,"Lake Village Dr",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"2499 SANDALWOOD CIR","Ann Arbor",MI,42.308331,-83.708438,1,range_interpolation,2499,"Sandalwood Cir",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"3611 GREEN BRIER BLV","Ann Arbor",MI,42.298471,-83.690124,1,range_interpolation,3611,"Green Brier Blvd",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"3127 LAKEHAVEN DR","Ann Arbor",MI,42.285929,-83.697081,1,rooftop,3127,Lakehaven,,,"Ann Arbor",MI,"Washtenaw County",48105,US,Washtenaw
"106 N FOURTH AV","Ann Arbor",MI,42.281704,-83.746939,1,rooftop,106,"N 4th Ave",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"1049 ISLAND DRIVE CT","Ann Arbor",MI,42.290378,-83.733277,1,rooftop,1049,"Island Drive Ct",,,"Ann Arbor",MI,"Washtenaw County",48105,US,Semcog
"402 S FIFTH AV","Ann Arbor",MI,42.277847,-83.746334,1,range_interpolation,402,"S 5th Ave",,,"Ann Arbor",MI,"Washtenaw County",48104,US,"TIGER/Line® dataset from the US Census Bureau"
"1813 WILLOWTREE LN","Ann Arbor",MI,42.299165,-83.717069,1,range_interpolation,1813,"Willowtree Ln",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"555 E WILLIAM ST 25G","Ann Arbor",MI,42.277977,-83.742168,1,rooftop,555,"E William St 25G",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"555 E WILLIAM ST 22G","Ann Arbor",MI,42.278,-83.742401,1,rooftop,555,"E William St",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Semcog
"555 E WILLIAM ST 14J","Ann Arbor",MI,42.277974,-83.742413,1,rooftop,555,"E William St 14J",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"443 S DIVISION ST","Ann Arbor",MI,42.277074,-83.743988,1,range_interpolation,443,"S Division St",,,"Ann Arbor",MI,"Washtenaw County",48104,US,"TIGER/Line® dataset from the US Census Bureau"
"2335 SANDALWOOD CIR","Ann Arbor",MI,42.307241,-83.710619,1,range_interpolation,2335,"Sandalwood Cir",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"439 SAshley St","Ann Arbor",MI,42.266638,-83.849042,0.33,place,,,,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"880 S MAPLE RD","Ann Arbor",MI,42.271274,-83.780122,1,range_interpolation,880,"S Maple Rd",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"2250 DEXTER AV","Ann Arbor",MI,42.284811,-83.776949,1,rooftop,2250,"Dexter Ave",,,"Ann Arbor",MI,"Washtenaw County",48103,US,Semcog
"500 E WASHINGTON ST","Ann Arbor",MI,42.280179,-83.743208,1,range_interpolation,500,"E Washington St",,,"Ann Arbor",MI,"Washtenaw County",48104,US,"TIGER/Line® dataset from the US Census Bureau"
"555 E WILLIAM ST 2F","Ann Arbor",MI,42.278064,-83.74217,1,rooftop,555,"E William St 2F",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"1321 NATALIE LN","Ann Arbor",MI,42.292021,-83.683425,1,range_interpolation,1321,"Natalie Ln",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"709 N MAPLE RD","Ann Arbor",MI,42.287229,-83.780656,1,range_interpolation,709,"N Maple Rd",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
